names.pop.avg.,pop.avg,country,st
AT11,279786.6923,AT,0.034041713
AT12,1576310,AT,0.191790012
AT13,1637263.308,AT,0.199206216
AT21,558797.3077,AT,0.067989001
AT22,1197225.846,AT,0.145666753
AT31,1395183.846,AT,0.16975235
AT32,522448.4615,AT,0.063566429
AT33,691081.3077,AT,0.084084027
AT34,360840.0769,AT,0.043903498
BE10,1034892.462,BE,0.097871714
BE21,1699535.385,BE,0.160728237
BE22,818076.4615,BE,0.07736702
BE23,1397861.385,BE,0.132198363
BE24,1049381,BE,0.099241922
BE25,1145694.769,BE,0.108350495
BE31,367360.8462,BE,0.034742002
BE32,1295152.308,BE,0.122484974
BE33,1045724.385,BE,0.098896109
BE34,259810.4615,BE,0.024570761
BE35,460479.4615,BE,0.043548403
BG31,943587.3846,BG,0.122968899
BG32,933252.3077,BG,0.121622025
BG33,992174.6923,BG,0.129300828
BG34,1126720.538,BG,0.146834927
BG41,2127114.923,BG,0.277206949
BG42,1550532.538,BG,0.202066372
CH01,714346.9231,CH,0.186681304
CH02,870404.6923,CH,0.227464104
CH03,522744.4615,CH,0.136609558
CH04,653753.9231,CH,0.170846448
CH05,539710.3077,CH,0.141043267
CH06,357477.2308,CH,0.093420036
CH07,168120.9231,CH,0.043935281
CY00,387147.5385,CY,1
CZ01,618907.2308,CZ,0.117409956
CZ02,599494.9231,CZ,0.11372734
CZ03,602944.0769,CZ,0.114381662
CZ04,573406.9231,CZ,0.108778309
CZ05,761554.0769,CZ,0.144470813
CZ06,845283.6154,CZ,0.160354747
CZ07,631021.8462,CZ,0.119708163
CZ08,638722.4615,CZ,0.12116901
DE11,3988091.923,DE,0.050177044
DE12,2723985.538,DE,0.034272415
DE13,2179415.846,DE,0.027420793
DE14,1795529.077,DE,0.022590839
DE21,4242842.769,DE,0.053382247
DE22,1189375.462,DE,0.014964385
DE23,1084632.846,DE,0.013646543
DE24,1096342.615,DE,0.013793872
DE25,1706367.462,DE,0.021469032
DE26,1333918.385,DE,0.016782984
DE27,1778514.923,DE,0.022376771
DE30,3413725.231,DE,0.042950525
DE40,2553594.692,DE,0.032128606
DE50,662115.2308,DE,0.008330546
DE60,1749558.077,DE,0.022012445
DE71,3773356.077,DE,0.047475298
DE72,1056434.692,DE,0.013291762
DE73,1247367,DE,0.015694019
DE80,1707287.692,DE,0.021480611
DE91,1644094.538,DE,0.020685532
DE92,2155804.846,DE,0.027123726
DE93,1691585.077,DE,0.021283045
DE94,2463310.462,DE,0.030992675
DEA1,5218582.692,DE,0.06565873
DEA2,4355726.923,DE,0.054802523
DEA3,2612957.923,DE,0.032875497
DEA4,2057072.692,DE,0.025881506
DEA5,3745625.769,DE,0.047126403
DEB1,1510610.538,DE,0.019006074
DEB2,513701.6923,DE,0.006463249
DEB3,2013621.923,DE,0.025334821
DEC0,537911.6923,DE,0.006767853
DED2,1665003.385,DE,0.020948601
DED4,233678.7692,DE,0.00294008
DED5,153672,DE,0.001933458
DEE0,2470875.308,DE,0.031087854
DEF0,2821729.769,DE,0.035502205
DEG0,2332386.692,DE,0.029345429
DK01,772238.9231,DK,0.303202746
DK02,378079.3077,DK,0.148444582
DK03,552801.3846,DK,0.21704539
DK04,576451.8462,DK,0.226331227
DK05,267367.6154,DK,0.104976055
EE00,1356441.308,EE,1
EL11,610520.0769,EL,0.055125446
EL12,1908490.308,EL,0.172322556
EL13,290943.6923,EL,0.026270063
EL14,749059.3077,EL,0.067634514
EL21,345936,EL,0.031235462
EL22,208964.0769,EL,0.01886791
EL23,700819.6923,EL,0.063278834
EL24,559159.2308,EL,0.050487942
EL25,591590.5385,EL,0.053416249
EL30,3974493.462,EL,0.358867357
EL41,203168.3846,EL,0.018344602
EL42,321781.4615,EL,0.029054485
EL43,610178.2308,EL,0.05509458
ES11,2732868.538,ES,0.065149535
ES12,1067695.154,ES,0.025453051
ES13,562122.5385,ES,0.013400579
ES21,2130135.308,ES,0.050780827
ES22,594867.1538,ES,0.014181187
ES23,299936.3846,ES,0.007150258
ES24,1276235.231,ES,0.03042449
ES30,5921994,ES,0.141175893
ES41,2501957.385,ES,0.059644786
ES42,1924142.923,ES,0.045870123
ES43,1078245.462,ES,0.025704563
ES51,6953522.692,ES,0.165766763
ES52,4615170.538,ES,0.110022202
ES53,970654.0769,ES,0.023139665
ES61,7840353.615,ES,0.186908146
