"NUTS_ID","Area (km2)","HostArea (km2)"
"AT11",3944.08012967691,515.46
"AT12",19598.0218985628,1528.95
"AT13",413.352050444602,0.22
"AT21",9525.70182728257,52.26
"AT22",16435.9857871032,611.53
"AT31",11966.4015203233,95.48
"AT32",7155.50495968134,0.23
"AT33",12644.210962081,588.87
"AT34",2591.66820186308,68.44
"BE10",160.009961627899,0.35
"BE21",2887.99230037311,321.16
"BE22",2439.73239589971,356.97
"BE23",2996.2453404609,13.43
"BE24",2274.23285886378,34.05
"BE25",3178.74607069824,0
"BE31",1082.18812832926,4.18
"BE32",3830.00780224372,2.64
"BE33",3862.58447865335,230.92
"BE34",4453.56199609639,113.36
"BE35",3681.09283856489,293.51
"BG31",19094.9041392221,1638.81
"BG32",14834.1010959376,787.16
"BG33",14589.0211844146,443.62
"BG34",19791.1797651026,981.57
"BG41",20287.9577740601,5327.19
"BG42",22420.6391441315,4081.39
"CH01",8755.1706838751,393.15
"CH02",10119.701141827,76.12
"CH03",1969.19105349477,24.87
"CH04",1734.07463379667,0.32
"CH05",11524.4235131869,119.03
"CH06",4483.2801771494,0.46
"CH07",2831.6207017168,12.78
"CY00",9299.96340424178,NA
"CZ01",501.668631000017,6.35
"CZ02",11531.6238916191,979.19
"CZ03",17617.6987744447,2454.01
"CZ04",8651.56184668281,424.87
"CZ05",12490.5501271361,950.08
"CZ06",13990.2628013703,767.49
"CZ07",9255.42173598239,122.61
"CZ08",5369.16290989118,8.19
"DE11",10568.1963239963,122.11
"DE12",6909.65135902759,556.86
"DE13",9493.1640426762,68.76
"DE14",9093.86724275939,19.38
"DE21",17538.4280561312,362.36
"DE22",10332.3055728639,272.17
"DE23",9663.30723376045,2091.86
"DE24",7224.28491367547,1022.47
"DE25",7286.63463893122,1511.03
"DE26",8542.5037324109,798.99
"DE27",10030.20881496,92.71
"DE30",882.727171334443,138.81
"DE40",30557.6220370532,9628.75
"DE50",382.981422903384,0.28
"DE60",767.68622706588,17.11
"DE71",7447.15659250858,658.16
"DE72",5383.72563471066,211.6
"DE73",8294.34779662241,474.43
"DE80",23050.8437106438,2608.4
"DE91",8123.45267171184,483
"DE92",9080.05761359214,671.96
"DE93",15568.1089311722,3126.42
"DE94",15008.841065788,631.7
"DEA1",5297.94867109441,333.14
"DEA2",7386.10188918786,24.19
"DEA3",6929.30291674067,306.4
"DEA4",6502.76308490805,49.95
"DEA5",8013.13781754571,66.63
"DEB1",8092.33072324808,105.06
"DEB2",4922.33835255004,359.11
"DEB3",6816.21320044949,429.31
"DEC0",2567.27914392096,3.65
"DED2",7930.09386581502,1564.65
"DED4",6527.1755938318,117.64
"DED5",3996.37915433346,365.05
"DEE0",20501.8841689631,2018.57
"DEF0",15738.7972647118,206.67
"DEG0",16213.632106489,1467.37
"DK01",2585.2252060788,14.08
"DK02",7298.2305736322,6.05
"DK03",12102.7802059858,79.35
"DK04",13169.5150835275,43.57
"DK05",7961.21262096888,13.56
"EE00",45378.6246046356,12906.06
"EL11",14121.3801972267,380.22
"EL12",18911.3791880287,702.35
"EL13",9520.98945494163,1121.19
"EL14",14045.0137836059,161.97
"EL21",9170.80478722764,848.04
"EL22",2340.54056222738,0
"EL23",11379.5971664507,439.77
"EL24",15569.7942142435,807.07
"EL25",15542.3206221755,503.89
"EL30",3804.11902011756,620.88
"EL41",3844.60379742572,138
"EL42",5372.03420671733,0
"EL43",8324.88918373777,138.54
"ES11",29563.0919556608,4986.72
"ES12",10635.3726427041,1256.3
"ES13",5337.19342690305,94.86
"ES21",7535.33989588059,1090.11
"ES22",10377.7507763616,1031.19
"ES23",5052.95022764426,910.88
"ES24",47749.1719203119,8567.87
"ES30",8028.97171625357,1470.43
"ES41",94191.7588257108,8616.98
"ES42",79393.7050603565,9237.12
"ES43",41628.9113169616,1649.79
"ES51",32149.3005715387,7125.54
"ES52",23314.1410133884,6241.66
"ES53",5015.00556743437,863.14
"ES61",87675.5398759536,6302.23
"ES62",11296.7038578912,2030.61
"ES63",11.4939353865159,0
"ES64",11.1023586128251,0
"FI19",64534.453276796,22697.07
"FI1B",9467.82375992642,1949.12
"FI1C",35371.191713913,11339.38
"FI1D",226721.180139364,87354.28
"FI20",1323.77036794414,8.39
"FR10",12055.2846860893,313.15
"FR21",25709.0243975854,905.05
"FR22",19467.9600529094,0
"FR23",12356.6110435423,1.17
"FR24",39564.8486980181,1659.36
"FR25",17808.6262797688,0.16
"FR26",31763.9293696337,699.86
"FR30",12456.5733306918,0
"FR41",23661.7812236471,859.42
"FR42",8312.70876460427,310.51
"FR43",16323.4397023901,191.25
"FR51",32385.7178738903,627.45
"FR52",27504.8682757134,203.79
"FR53",25994.0140667917,735.98
"FR61",41847.0262433616,11547.4
"FR62",45575.1938288847,790.04
"FR63",17073.0804127867,465.47
"FR71",45080.9506466358,1184.12
"FR72",26119.2006083566,1351.24
"FR81",27766.6499787909,3211.18
"FR82",31862.9984337504,5970.12
"FR83",8700.13859179433,777.21
"HR01",8654.31520516678,0.48
"HR02",23194.8812046733,268.86
"HR03",24646.7373153229,1497.12
"HU10",6896.34052980704,254.48
"HU21",11116.9763987059,29.65
"HU22",11326.6184379661,241.56
"HU23",14204.2026094014,742.27
"HU31",13431.3338345665,1309.51
"HU32",17698.3908011987,881.34
"HU33",18350.5206383253,325.42
"IE01",33325.5803530168,1405.27
"IE02",36644.9634529679,594.57
"IS00",102659.554036671,0
"ITC1",25377.881155252,1698.88
"ITC2",3258.07251484167,224.95
"ITC3",5467.15210832928,484.96
"ITC4",23842.2307341064,436.9
"ITF1",10826.1902609193,516.03
"ITF2",4432.88558802383,0.19
"ITF3",13671.961203719,215.71
"ITF4",19408.195366393,1.56
"ITF5",10014.4936770324,0
"ITF6",15114.4495333309,847.57
"ITG1",25856.1606957366,1112.02
"ITG2",24079.9329261587,0
"ITH1",7424.98010483345,155.92
"ITH2",6192.39469989811,320.37
"ITH3",17728.2760575474,134.74
"ITH4",7769.93507506851,408.5
"ITH5",22490.9296261249,100.81
"ITI1",22998.0461136836,937.47
"ITI2",8504.20458217874,1.06
"ITI3",9398.37163255394,0
"ITI4",17199.065934296,1.62
"LI00",163.673831600578,1.33
"LT00",64921.8202892608,9990.47
"LU00",2605.83997473973,139.41
"LV00",64629.0624735185,14067.74
"ME00",13854.32804879,0
"MK00",25371.759976785,104.54
"MT00",312.499108190148,0
"NL11",2408.47272271475,25.94
"NL12",3529.82283323192,66.19
"NL13",2699.52066554095,266.47
"NL21",3429.73562063847,145.71
"NL22",5127.27170587627,289.27
"NL23",1563.57105540959,71.03
"NL31",1442.14951295504,15.06
"NL32",2886.97776555306,6.22
"NL33",3244.75530394374,0.2
"NL34",1926.12946913347,3.97
"NL41",5058.05722030818,423.3
"NL42",2213.69750451091,216.46
"NO01",5361.67623373922,802.25
"NO02",52591.6436674549,7727.05
"NO03",36576.5569552623,5654.6
"NO04",25813.3751996792,6703.6
"NO05",49035.5004581915,3970.73
"NO06",41233.0929873825,1797.38
"NO07",113403.515769159,4293.6
"PL11",18214.8141234353,3503.72
"PL12",35533.1518607856,5737.66
"PL21",15178.8516651942,922.79
"PL22",12329.2226601835,2947.99
"PL31",25151.4188057481,3946.58
"PL32",17801.8230354253,2481.68
"PL33",11684.1815994674,2304.19
"PL34",20208.9785961171,3587.39
"PL41",29836.0745071837,6986.77
"PL42",22449.1005988423,5546.21
"PL43",13956.1028519328,6143.36
"PL51",19933.136707016,2812.61
"PL52",9441.49015192282,2170.48
"PL61",17982.7021295713,3898.07
"PL62",24032.9237528466,5519.22
"PL63",18192.7139413787,5918.41
"PT11",21267.4890518379,3626.92
"PT15",5005.22274530358,19.76
"PT16",28271.1923175949,8193.28
"PT17",2848.63020481006,489.6
"PT18",31569.1129938002,846.19
"RO11",34160.1534131506,52
"RO12",34131.4461644552,4.71
"RO21",36823.2424702695,33.92
"RO22",35752.1907595254,217.12
"RO31",36205.2632923693,40.82
"RO32",1795.10160601142,0
"RO41",29257.4896585963,10.75
"RO42",31988.0217403127,0
"SE11",7017.32490582725,963.55
"SE12",43275.4132625189,9514.4
"SE21",35922.0433709392,9632.86
"SE22",14422.373117879,924.06
"SE23",34582.7607234468,5908.1
"SE31",71957.4221300143,23085.15
"SE32",77198.1923559948,21199.6
"SE33",165118.139161021,49061.84
"SI01",12201.3719379036,212.45
"SI02",8047.68578178386,499.63
"SK01",2056.0951721488,289.58
"SK02",15000.0538268584,653.39
"SK03",16261.151562857,282.35
"SK04",15767.2521587869,407.22
"TR10",5290.63032138105,0
"TR21",18905.9244094473,26.61
"TR22",24166.6180642532,0
"TR31",11768.2783167402,0
"TR32",32069.0735993368,0
"TR33",45422.373863307,0
"TR41",29084.1391107056,0
"TR42",20255.8847288259,0
"TR51",24919.2087555716,0
"TR52",48116.5238446505,NA
"TR61",36409.7807255266,0
"TR62",29268.1038869722,NA
"TR63",23289.8928719391,NA
"TR71",31301.3572989214,NA
"TR72",59749.21815312,NA
"TR81",9515.5880457151,0
"TR82",26549.1655271022,NA
"TR83",38010.6631622179,NA
"TR90",35094.8253464868,NA
"TRA1",40823.9748145128,NA
"TRA2",29983.0098903306,NA
"TRB1",36673.5187714302,NA
"TRB2",44347.7621936605,NA
"TRC1",15208.8373453212,NA
"TRC2",33961.8710202806,NA
"TRC3",25891.3629774368,NA
"UKC1",3023.34802186447,0
"UKC2",5616.34357133965,0
"UKD1",6817.38884106357,0
"UKD3",1272.34540927399,0
"UKD4",3103.71167342257,0
"UKD6",2282.02156655852,14.1
"UKD7",696.400724820463,0
"UKE1",3520.72360953983,0.06
"UKE2",8345.93179279742,0
"UKE3",1548.26268170374,0.63
"UKE4",2037.49763831237,0
"UKF1",4802.91744786583,167.59
"UKF2",4911.99648175929,14.4
"UKF3",5945.29353389817,33.15
"UKG1",5953.81179940279,0.15
"UKG2",6179.40369715217,92.3
"UKG3",901.905278141273,0
"UKH1",12640.0823427086,0
"UKH2",2870.98667493021,0
"UKH3",3707.33886106313,0
"UKI1",320.239794817875,0.09
"UKI2",1593.09139659981,9.05
"UKJ1",5732.33537124566,0.8
"UKJ2",5499.47981587405,414.48
"UKJ3",4156.43234576188,6.06
"UKJ4",3740.38434505669,112.74
"UKK1",7485.60901480133,0
"UKK2",6120.14763701115,0.02
"UKK3",3598.04582986185,14.04
"UKK4",6797.04940298369,285.83
"UKL1",13174.879599706,26.08
"UKL2",7683.00310851748,108.32
"UKM2",18159.8696421576,350.99
"UKM3",13450.048597748,0
"UKM5",6509.43658989439,181.55
"UKM6",41002.8040927523,933.6
"UKN0",14147.7166250725,37.14
