port.locations.1.343..1.,xport,yport,output
BE00BEANR,4.39771,51.222085,0.498312266
BE00BEGNE,3.728569,51.055633,0.494591319
BE00BEOST,2.9127,51.23126,0.493144625
BE00BEZEE,3.20696,51.33099,0.494564773
BG00BGBOJ,27.471785,42.49153,0.402257212
BG00BGVAR,27.9131,43.208415,0.41049351
CY00CYLCA,33.63821,34.920021,0.383269643
CY00CYLMS,33.051109,34.683338,0.389654091
CY00CYVAS,33.31879,34.723621,0.3869875
DE01DEAGE,7.908755,53.784346,0.48224125
DE01DEBEN,7.57823,53.673981,0.484662955
DE01DEBKE,8.47864,53.326328,0.481610117
DE01DEBMK,6.66982,53.588188,0.488201136
DE01DEBMR,7.370581,53.727531,0.485657188
DE01DEBRB,9.13595,53.897005,0.478330667
DE01DEBRE,8.804708,53.0751,0.482626958
DE01DEBRV,8.582042,53.544301,0.480458792
DE01DECAR,7.80294,53.690571,0.483607125
DE01DECUX,8.697818,53.858306,0.47870983
DE01DEEME,7.20574,53.366838,0.486894375
DE01DEHAM,9.992455,53.553345,0.477962326
DE01DEHGL,7.882485,54.180119,0.467906458
DE01DEHUS,9.2512,52.56458,0.481851806
DE01DEJUI,6.99625,53.677521,0.48736375
DE01DELGO,11.753977,52.563473,0.474878924
DE01DENHA,8.47857,53.48953,0.481069963
DE01DEPEL,8.64805,54.523546,0.467906458
DE01DEWVN,8.111685,53.51958,0.482148173
DE02DEKEL,10.1322,54.32324,0.471415451
DE02DELBC,10.68088,53.866275,0.473884805
DE02DERSK,12.132453,54.078967,0.470843086
DE02DESAS,13.642362,54.515326,0.471142083
DE02DEWIS,11.46622,53.891083,0.472045117
DE03DEDUI,6.763932,51.431447,0.494716287
DK00DKAAB,9.421387,55.044958,0.454637014
DK00DKAAL,9.91629,57.049355,0.408954737
DK00DKAAR,10.20488,56.152975,0.42953724
DK00DKAVE,11.336608,55.750147,0.457982143
DK00DKCPH,11.336608,55.750147,0.457982143
DK00DKEBJ,8.456905,55.46522,0.458628125
DK00DKENS,11.336608,55.750147,0.457982143
DK00DKFRC,9.759105,55.56637,0.442004154
DK00DKGRE,10.87749,56.412682,0.432474688
DK00DKKAL,11.094554,55.679201,0.45763875
DK00DKKOG,12.18195,55.455415,0.459015667
DK00DKKOL,9.473455,55.486405,0.445592664
DK00DKODE,10.390795,55.39617,0.443531389
DK00DKRAN,10.035795,56.459375,0.423003403
DK00DKRNN,14.69755,55.0993,0.429985
DK00DKSSV,11.336608,55.750147,0.457982143
DK00DKSTG,11.336608,55.750147,0.457982143
DK00DKTYB,8.21272,56.703812,0.409922188
DK00DKVEJ,9.536805,55.711395,0.438661875
