"MS1.MS2" "AT" "BE" "BG" "CH" "CY" "CZ" "DE" "DK" "EE" "EL" "ES" "FI" "FR" "HR" "HU" "IE" "IS" "IT" "LI" "LT" "LU" "LV" "ME" "MK" "MT" "NL" "NO" "PL" "PT" "RO" "SE" "SI" "SK" "TR" "UK"
"AT-AT" 182072.060695675 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-BE" 100774.724365754 142697.588180683 0 0 0 0 529536.986613552 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-BG" 183142.207262211 0 254053.107347318 0 0 0 0 0 0 0 0 0 0 38512.3270829429 188430.312908356 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36016.4205680251 0 0 0
"AT-CH" 314727.329479739 0 0 95361.4980007262 0 0 14889.1588682811 0 0 0 0 0 0 0 0 0 0 0 9507.4290342726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-CY" 183120.780495254 0 262346.860047421 0 38659.0496381934 0 0 0 0 77548.4611381034 0 0 0 93516.3135825092 2771.15098229512 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 36287.6132500917 0 839513.20612644 0
"AT-CZ" 118303.131422932 0 0 0 0 146340.878290945 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-DE" 92647.5884054925 0 0 0 0 0 339931.330232765 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-DK" 105783.836282725 0 0 0 0 156873.235324594 555044.355550038 12170.40047978 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-EE" 116924.465900785 0 0 0 0 232712.116833491 0 0 97439.5125648227 0 0 0 0 0 0 0 0 0 0 149190.679428943 0 89868.6034593069 0 0 0 0 0 636541.319560775 0 0 0 0 0 0 0
"AT-EL" 146147.805152551 0 0 0 0 0 0 0 0 217695.649283928 0 0 0 144967.531408866 0 0 0 0 0 0 0 0 103715.037069317 116644.36326675 0 0 0 0 0 0 0 61830.2537509274 0 0 0
"AT-ES" 156225.168216293 0 0 14537.5930356947 0 0 0 0 0 0 392738.832632284 0 542624.995453169 0 0 0 0 413750.848916454 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-FI" 105894.854098763 0 0 0 0 260740.236021918 0 0 0 0 0 7081.14471421118 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 479831.725662204 0 0 0 0 0 0 0
"AT-FR" 63816.1631985279 0 0 222562.655427952 0 0 263138.076513702 0 0 0 0 0 294391.926290843 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-HR" 140592.606381938 0 0 0 0 0 0 0 0 0 0 0 0 87928.9315277885 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 94221.3780675981 0 0 0
"AT-HU" 206927.189078439 0 0 0 0 0 0 0 0 0 0 0 0 0 189406.309276613 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-IE" 99267.0319423868 271577.38811028 0 0 0 0 533385.472416343 0 0 0 0 0 0 0 0 138910.291695965 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 350469.806888311
"AT-IS" 86414.3430204754 0 0 0 0 0 729666.928100441 0 0 0 0 0 0 0 0 0 163416.776028601 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-IT" 127518.379501005 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 110347.037263996 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-LI" 312850.408051885 0 0 0 0 0 16340.5897632119 0 0 0 0 0 0 0 0 0 0 0 5178.74161069121 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"AT-LT" 181396.064399057 0 0 0 0 156334.262324899 0 0 0 0 0 0 0 0 0 0 0 0 0 114333.494650308 0 0 0 0 0 0 0 644338.595823247 0 0 0 0 0 0 0
