PortName,X ,Y,NUTS2
BE00BEANR,51.222085,4.39771,BE21
BE00BEGNE,51.055633,3.728569,BE23
BE00BEOST,51.23126,2.9127,BE25
BE00BEZEE,51.33099,3.20696,BE25
BG00BGBOJ,42.49153,27.471785,BG34
BG00BGVAR,43.208415,27.9131,BG33
CY00CYLCA,34.920021,33.63821,CY00
CY00CYLMS,34.683338,33.051109,CY00
CY00CYVAS,34.723621,33.31879,CY00
DE01DEAGE,53.784346,7.908755,DE94
DE01DEBEN,53.673981,7.57823,DE94
DE01DEBKE,53.326328,8.47864,DE94
DE01DEBMK,53.588188,6.66982,DE94
DE01DEBMR,53.727531,7.370581,DE94
DE01DEBRB,53.897005,9.13595,DEF0
DE01DEBRE,53.0751,8.804708,DE50
DE01DEBRV,53.544301,8.582042,DE50
DE01DECAR,53.690571,7.80294,DE94
DE01DECUX,53.858306,8.697818,DE93
DE01DEEME,53.366838,7.20574,DE94
DE01DEHAM,53.553345,9.992455,DE60
DE01DEHGL,54.180119,7.882485,NA
DE01DEHUS,52.56458,9.2512,DE92
DE01DEJUI,53.677521,6.99625,DE94
DE01DELGO,52.563473,11.753977,DEE0
DE01DENHA,53.48953,8.47857,DE94
DE01DEPEL,54.523546,8.64805,DEF0
DE01DEWVN,53.51958,8.111685,DE94
DE02DEKEL,54.32324,10.1322,DEF0
DE02DELBC,53.866275,10.68088,DEF0
DE02DERSK,54.078967,12.132453,DE80
DE02DESAS,54.515326,13.642362,DE80
DE02DEWIS,53.891083,11.46622,DE80
DE03DEDUI,51.431447,6.763932,DEA1
DK00DKAAB,55.044958,9.421387,DK03
DK00DKAAL,57.049355,9.91629,DK05
DK00DKAAR,56.152975,10.20488,DK04
DK00DKAVE,55.750147,11.336608,DK02
DK00DKCPH,55.750147,11.336608,DK02
DK00DKEBJ,55.46522,8.456905,DK03
DK00DKENS,55.750147,11.336608,DK02
DK00DKFRC,55.56637,9.759105,DK03
DK00DKGRE,56.412682,10.87749,DK04
DK00DKKAL,55.679201,11.094554,DK02
DK00DKKOG,55.455415,12.18195,DK02
DK00DKKOL,55.486405,9.473455,DK03
DK00DKODE,55.39617,10.390795,DK03
DK00DKRAN,56.459375,10.035795,DK04
DK00DKRNN,55.0993,14.69755,DK01
DK00DKSSV,55.750147,11.336608,DK02
DK00DKSTG,55.750147,11.336608,DK02
DK00DKTYB,56.703812,8.21272,DK04
DK00DKVEJ,55.711395,9.536805,DK03
EE00EEKND,59.500145,26.527405,EE00
EE00EEPRN,58.385905,24.497855,EE00
EE00EESLM,59.39602,27.762525,EE00
EE00EETLL,59.436475,24.7526,EE00
EE00EEVEB,59.462131,24.657183,EE00
EL00GRAXD,40.848889,25.887844,EL11
EL00GRCFU,39.618469,19.907431,EL22
EL00GRCLK,38.46047,23.602155,EL24
EL00GRCRG,37.940201,22.934509,EL25
EL00GREEU,38.038492,23.54147,EL30
EL00GRGPA,38.24425,21.73256,EL23
EL00GRHER,35.338761,25.144546,EL43
EL00GRIGO,39.512655,20.25838,EL21
EL00GRITM,37.915065,23.00226,EL25
EL00GRJKH,38.367995,26.1385,EL41
EL00GRJSY,37.444599,24.939671,EL42
EL00GRKVA,40.936248,24.41424,EL11
EL00GRMJT,39.10585,26.55599,EL41
EL00GRNAF,37.566448,22.8069,EL25
EL00GRPIR,37.94273,23.647369,EL30
EL00GRPVK,37.86392,22.114205,EL23
EL00GRRHO,36.447948,28.22591,EL42
EL00GRRIO,38.301244,21.780004,EL23
EL00GRSKG,40.63955,22.937075,EL12
EL00GRSYS,38.914035,22.61589,EL24
EL00GRVOL,39.37413,22.957755,EL14
EL00GRVTH,37.749485,26.97416,EL41
ES01ESAVS,43.558476,-5.921135,ES12
ES01ESFRO,43.48685,-8.227339,ES11
ES01ESGIJ,43.542035,-5.663799,ES12
ES01ESLCG,43.370155,-8.396744,ES11
ES01ESMPG,42.393235,-8.702659,ES11
ES01ESSDR,43.4615,-3.810009,ES13
ES01ESVGO,42.22124,-8.733224,ES11
ES01ESVIL,42.5919,-8.76468,ES11
ES02ESAGP,36.71832,-4.420159,ES61
ES02ESALC,38.344085,-0.480474,ES52
ES02ESALG,36.1276,-5.452649,ES61
ES02ESBCN,41.385589,2.168745,ES51
ES02ESCAD,36.52986,-6.290239,ES61
ES02ESCAR,37.606755,-0.988009,ES62
ES02ESCAS,39.98514,-0.045679,ES52
ES02ESHUV,37.25455,-6.945234,ES61
