"intra.EU.yearly.sum.tab...1.","X2001","X2002","X2003","X2004","X2005","X2006","X2007","X2008","X2009"
"AT",0.926579194873241,0.912913447516843,0.94839450769196,0.976519178521173,0.988323017983012,0.999937932966994,1.00242315482605,0.963275136374119,0.998755924640271
"BE",0.996965704043557,0.994082548599712,0.994363871647053,0.973661220945411,0.98066083488407,0.0062045239294133,0.0050992484919285,0.0062457205209877,0
"BG",0.993287937316935,0.974686367952161,0.987038907995156,0.995147052455037,0.98883196625051,0.990152456378153,0.995767880003472,1,0.833220833467691
"CH",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",0.991983350296958,0.992043859909249,0.989561416102372,0.996282472878894,0.999966066798055,0.996511003088761,0.995850622406639,0,0.999762264349691
"DE",0.795937425430395,0.871202341988281,0.90103535880989,0.973888961377941,0.991115151770046,0.99045279121883,0.935600924009417,0.929379362637262,0.89906846067473
"DK",0.995705144662822,0.985006140183615,0.984357603826415,0.992485133980305,0.978795652093135,0.985004421113358,0.988161915357932,0.980410973169285,0.987301191479806
"EE",0.996132217681494,0.999069871528943,0.999602351219253,0.999737829319603,0.999972225364212,0.999932383873457,1.00000000034992,1,0.999970080113781
"EL",0.922480619830214,1,0.837121211350006,1,0.05,0.999741746654023,1.3467043410754,1.07255474009386,0.859870179992859
"ES",0.999190813913621,0.997892062442386,0.998408526210942,0.998242427106391,0.99619219221674,0,0,0.996618286056279,0.998784798498638
"FI",0.730556971935763,0.773148027061489,0.870342753860282,0.903568182619194,0.896399667980241,0.909244939927486,0.87736451887114,0.867090827460577,0.805431417368082
"FR",0.921380586740688,0.953127694572605,0.993768298094058,0.996932959887182,0.995297338956493,0.848741756410859,0.727983475009097,0.916094059124102,0.604151371335897
"HR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",0.976576202329294,0.978639307432383,0.947317477641707,0.988353892394311,0.890060507344548,0.98078930571846,0.996534813278192,0.965581018906199,0.99713675475064
"IE",1,1,0.99996465756727,1,1,1,1,1,0.999973856695519
"IS",NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",0.569391744103666,0.730649535400138,0.556966590216973,0.815155354771817,0.895293611148025,0.805745562204203,0.370444002650762,0.136690017910017,0.75638250868188
"LI",NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",0.473273120520766,0.533288707642834,0.479948885775497,0.711220520942373,0.881582850146728,0.884587729861668,0.964304660464851,0.962388320349004,0.993534119967313
"LU",1,1,1,1,1,1,1,1,1
"LV",0.962949463200338,0.983421791834122,0.991665614675847,0.995665175692672,1,1,1,1,0.999732749027932
"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",0.999908874221148,0.999946690305788,0.999999651016989,0.999600139068367,0.999416901653537,0,0,0,0.999487625377626
"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",0.73759571792703,0.68207536336603,0.823334832112269,0.950323714037563,0.963526550614676,0.92286805757706,0.922491383748401,0.908582895690372,0.991481806622184
"PT",0.998779464376015,0.994445469779337,0.999528534623607,0.989725840600508,0.994931813252101,0.999422048265805,0.998601360759461,0.985964489647831,0.987749222539758
"RO",0.849337458983172,0.975622322225464,0.921327058662833,0.915608549527226,0.933302705292099,0.993119400187289,1.25861808594665,1.43750955466473,0.28435643342411
"SE",0.990477334455719,0.992189787079545,0.989763600851006,0.996698427609342,0.997652699281312,0.998773955684678,0.999114071859773,0.998949015237012,0.996024534092096
"SI",0.997870710124844,0.997201808062964,0.999156716421318,0.996082372830236,0.890380278128962,0.949681741816668,0.93938479863449,0.808667489793934,0.964549613386281
"SK",0.795559509608095,0.703337036335378,0.716017108447325,0.922784438996819,0.895241518157865,0.850001700574268,0.999782583879317,0.999657104130529,0.999882573824904
"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA
"UK",0.978538790901925,0.984008296538029,0.990293134145602,1.00000000041859,0.999668385705641,0.999449589482905,0.999584104108914,0.999361423940565,0.999300335299545
