"Declarant","2001","2002","2003","2004","2005","2006","2007","2008","2009","mean"
"AT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"BG",NA,0.069,NA,NA,NA,NA,NA,NA,NA,0.00766666666666667
"CH",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CY",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"CZ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"DE",NA,NA,NA,NA,NA,NA,NA,NA,0,0
"DK",NA,NA,NA,0.6,NA,NA,NA,NA,NA,0.0666666666666667
"EE",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"EL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ES",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"FR",NA,NA,NA,NA,NA,0.3,20,NA,NA,2.25555555555556
"HR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"HU",NA,NA,NA,63.5,NA,NA,NA,NA,NA,7.05555555555556
"IE",251.799997,NA,NA,NA,363.200001,396.200004,1341.799988,21.700001,NA,263.855554555556
"IS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"IT",35,NA,104,NA,NA,NA,7.7,NA,NA,16.3
"LI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LU",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"LV",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"ME",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MK",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"MT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"PL",0.033,NA,0.489,NA,NA,NA,NA,NA,NA,0.058
"PT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"RO",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SE",NA,NA,NA,NA,NA,NA,NA,NA,37,4.11111111111111
"SI",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"SK",NA,NA,0.039,NA,NA,NA,NA,NA,NA,0.00433333333333333
"TR",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"UK",30.2,49.1,NA,30.5,144.599998,21,NA,NA,NA,30.5999997777778
