"transition.matrix.avg.year...1.","AT","BE","BG","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FR","HR","HU","IE","IS","IT","LI","LT","LU","LV","ME","MK","MT","NL","NO","PL","PT","RO","SE","SI","SK","TR","UK"
"AT",NA,0.000128623024319803,0.00379255483501053,0.0194222289225397,NA,0.0188578588979764,0.136350101311925,0.00012786283986341,0.000217678505268227,0.0172870133228587,0.000333844030265973,4.10499020025193e-06,0.000382869976277505,0.000173397825778545,0.000874040962507563,0.00116926084503093,6.95567783931577e-05,0.688355936672343,0.000817045087284401,0.000122693593704758,0.00234326526819745,3.42082516687661e-05,NA,2.82788213795133e-05,0.00116114207523213,0.000564322123635409,NA,0.0165370956539705,0.000362778507236852,0.000131686566017525,0.029107003516732,0.0602801221876346,0.00075429816154647,NA,0.000209126445201723
"BE",0.00317028962234183,NA,NA,0.000150204428115288,NA,0,0.435957321277078,0.000217507417193666,NA,7.28059969204744e-05,0.000669559134337752,0.0138966214865837,0.113173085161581,NA,0,0.000178630042477128,NA,0.0566554422092224,NA,NA,0.251825825836034,NA,NA,NA,NA,0.119686998152954,NA,0.000114288385363982,0.000177442348271846,5.98006805242338e-05,0.00245687581486019,NA,0.00138398693413155,NA,0.000153315072008832
"BG",NA,0.000423813342150515,NA,NA,0.00022367190824961,NA,0.000154073808760969,NA,NA,0.843101682026366,0.000441001333579582,NA,0.000144626303008863,NA,0.000353177785125429,0.000829967795044759,NA,0.000869647313054523,NA,NA,NA,NA,0.0110998656669312,0.0397386370897575,3.53177785125429e-05,0.00541598143202235,NA,NA,NA,0.000550957362454559,NA,NA,NA,0.0962988361039058,0.0003187429510757
"CH",0.342396546749342,2.27800370410973e-05,1.1016813658386e-05,NA,NA,1.96838915055553e-05,0.0491573920089922,NA,9.20895114427336e-07,NA,NA,6.78554294841195e-07,0.1876804813767,NA,1.52190034700097e-05,NA,NA,0.420037483351674,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.40660589903677e-05,2.91778346781714e-05,0.000128886541811814,3.68358045770934e-06,0.000455019444898961,NA,NA,1.69638573710299e-05
"CY",NA,0.00841942770418843,NA,NA,NA,NA,NA,NA,0.0473592808360599,0.0490431665523023,NA,0.895178124907449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA
"CZ",0.818731387725965,0.000388849865411722,0.000622370377514576,7.57542718113185e-05,NA,NA,0.159414016918918,7.13895433031425e-06,2.13558462872649e-06,0.00107508890153397,3.29490199860658e-06,4.88743784256635e-05,0.000110623283920574,2.26677055180342e-05,0.000236163881192116,0.000450974455968105,NA,0.00325916205289946,NA,1.39545207413027e-05,0,NA,6.10167036778996e-08,NA,0,3.23541074709676e-05,NA,0.00826841094728214,NA,1.18067321616736e-05,2.44066814711598e-07,0.00501452408106034,0.00221014126772885,NA,NA
"DE",0.64348699200997,0.0436125906076698,2.27470078345878e-06,0.0184839535612897,0.000173742193506191,0.0578162452858626,NA,0.00903293377342254,0.00127012517461975,0.000106687891545113,0.000776652000548421,0.0176306748126843,0.0385345548986904,6.44734601079717e-06,5.05380729248663e-05,0.000959665559162564,NA,0.0735111702580159,0.000100609949649233,0.000966946118750584,0.0235812112445204,9.96518045233837e-05,6.39257980861605e-06,0.000154923267213773,6.68529744578171e-06,0.0128113748373987,0.00931309774982232,0.0173657123872053,0.0013595877306096,8.08427608292442e-05,0.0245762158092066,0.000147003035839851,0.00025914571090013,0.00255411793074572,0.00116123363882402
"DK",0.0763078484637478,0.000303929683003461,NA,0.00525984425220198,NA,8.2617674802831e-05,0.330330037259151,NA,0.0379191961958311,3.81620455847094e-05,0.00367843218776711,0.0228023584773129,0.000557624314030031,NA,2.01060364134316e-05,0.000613620462528386,0.000185028099804652,4.73083209727802e-06,NA,2.93127613227454e-05,NA,0.00189745128332601,NA,NA,NA,0.000293994934087939,0.20021585801492,0.00141837472092242,0.00244151940549055,NA,0.314661608116076,NA,3.15388806485202e-05,NA,0.000906805898929362
"EE",0.000854246865868656,0.00611378917318497,NA,3.15673883092896e-05,NA,0.000111263319174174,0.0610659782816414,0.0021649298507093,NA,6.10426425916336e-05,0.00064328848372875,0.257195762796532,0.000379897406229673,NA,2.60589858546145e-05,0.00104907721647349,7.36219305218178e-05,0.019014078359399,NA,0.000130101289610143,NA,0.00178998420831878,NA,NA,NA,0.00153353108342328,0.227225353790509,0.000729948209424819,0.00441212554922076,2.22454757295489e-05,0.414342723844438,NA,0.00034925396789461,0.000479826443375276,0.000200303437837134
"EL",0.0062661017955516,0.00287624344713844,0.214029244648586,NA,0.00634828033384002,NA,0.00210582109522636,NA,0.0141757712751823,NA,NA,NA,NA,NA,NA,NA,NA,0.381673653105225,NA,NA,NA,NA,NA,0.0119569549016755,NA,0.00228045016165976,NA,NA,NA,0.0328816250551008,0.00320495698395426,0.016579489013148,NA,0.305621408183713,NA
"ES",0.00769962333285141,0.0034050243265049,2.80439053975344e-05,NA,0,NA,0.000254168039148918,NA,NA,2.46592961254182e-05,NA,NA,0.302057573616974,NA,NA,0.000624529485054794,NA,0.00312415841665035,NA,9.67031220604635e-06,4.44834361478132e-05,NA,NA,NA,0,4.83515610302318e-07,NA,5.80218732362781e-06,0.567749185690454,NA,0.114590778282506,NA,9.18679659574403e-06,NA,0.000372629360449549
"FI",0.000686793296934411,0.00154619144148864,3.90255601767502e-06,0.000179630695994746,7.1264068672069e-05,0.000703756531218914,0.0164354543552077,0.00272302887968179,0.00712726130124239,0.0113830771150222,0.00789249063878497,NA,0.00568067144629346,NA,0.000438820744829025,0.037947386454445,0.000150823419464713,0.00285620238392871,NA,9.29023259352126e-05,3.98173846450924e-05,0.0137695748737322,1.92299861740508e-06,NA,2.03611618313479e-05,0.000312289317608741,0.0194809060723275,0.000970255357882422,0.00146822829203758,0.000344499546429834,0.807302634775897,0.000400436634814086,0.00122280088553817,0.00738163761885204,0.0513649774246246
"FR",0.00687483070000584,0.129503472660116,NA,0.0540237824075384,NA,9.86488093936092e-06,0.177149625041616,0.00040847281049392,0,8.70430671120081e-08,0.40633229935995,3.85890930863236e-06,NA,8.70430671120081e-07,2.57662711188289e-05,0.000275755548400491,NA,0.118280057830236,NA,0,0.0786129944469366,1.91494747646418e-06,NA,NA,NA,0.000295907742131436,NA,1.8913878413933e-05,0.0267082465755113,2.86371690798507e-05,0,2.05856849367746e-05,6.52823003340061e-07,4.561056681852e-05,0.00137779227222951
"HR",0.229425743696195,NA,0.0295393865160962,NA,NA,NA,0.0014602662835147,0.000401862648867443,NA,NA,NA,NA,0.00301148928248351,NA,0.0593764467365949,NA,NA,0.0864274018663632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00104186612669337,NA,0.589315536843191,NA,NA,NA
"HU",0.90058363743985,0,NA,NA,NA,0.00621629783528754,0.000558386834983907,8.94069688730938e-05,NA,NA,NA,0.00331969758475605,3.06976730335804e-05,0.0022232789464338,NA,NA,NA,0.00374760229646235,NA,NA,NA,NA,NA,NA,NA,0.00693962014921399,NA,0.000240659522746523,0.000166534878125778,0.033997888896541,NA,0.0417271651087788,0.000159125864913548,NA,NA
"IE",0.00162200286444103,0,NA,NA,NA,NA,NA,0.000796406731199233,NA,NA,0.000741234326028903,0.0125934646043137,0.000248183759585637,NA,NA,NA,NA,3.3169792638413e-05,NA,NA,NA,0.000101720697424466,NA,NA,NA,0.000266242873333634,0.0223999589505067,NA,NA,NA,0.000928090824558629,NA,0.00119322795410751,NA,0.959076296621862
"IS",NA,NA,NA,NA,NA,NA,0.980392156862745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0196078431372549,NA,NA,NA,NA
"IT",0.501725200384555,0.0145455180757903,0.00123763925622613,0.0445532037376468,0,0.00288782498547673,0.20595927635189,0.00357449767012936,NA,0.0245806320769684,0.0303764441479073,NA,0.0355414177488046,0.0025795007981776,0.000818307520973644,0.0586331597637129,NA,NA,0.000553680719890637,NA,0.00105850725861445,0,NA,NA,0.0198850086326368,0.000472257084612602,NA,0.00287221871407677,0.0151191478143103,0.001491816717923,NA,0.0272543000331107,0.0010397798225005,0.00180760470317237,0.00143305598089341
"LI",0.0574228734952433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00771606799205384,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.934861058512703,NA,NA,NA,NA
