"transition.matrix.avg.year...1.","AT","BE","BG","CH","CY","CZ","DE","DK","EE","EL","ES","FI","FR","HR","HU","IE","IS","IT","LI","LT","LU","LV","ME","MK","MT","NL","NO","PL","PT","RO","SE","SI","SK","TR","UK"
"AT",NA,0.00125406672910392,0.000264269189993188,0.0148420608899827,0.00023693346657046,0.0127100550601771,0.0743052602603034,0.0014233060137846,0.000191470707580586,0.141546677686586,0.0168403399677919,2.70819151689744e-05,0.00592639414778727,0.0162848183676626,0.00347644184939874,0.00112218365911794,2.37575131546288e-06,0.582574882545366,0.000398895245175427,5.80450490668561e-05,0.000279455997617833,1.69396018274411e-05,3.38915773596501e-05,0.000314744625168198,0.00339913094200805,0.0039895876352657,2.93834242558291e-05,0.000435249189783916,6.76264211255718e-05,0.000749298530588958,0.00102898786092527,0.0410494108550889,0.00389878526510959,0.000598485165367973,0.0706234644065743
"BE",0.00689010246269322,NA,2.91504334960098e-05,0.00129951307505507,8.43706296753828e-05,0.0005385574136476,0.179191524131622,0.00441132185075411,0.00015179756988121,0.0148887826610426,0.0247732861117974,6.5919730292113e-05,0.538375712433617,5.89160547119028e-05,4.05787284461499e-05,0.0171158868219687,NA,0.000731300458500275,NA,0.000225895156161195,0.040001295900819,9.57208431072301e-05,1.83846483980516e-05,2.63347666242361e-05,3.47817672395571e-05,0.126242411725529,3.97505911309224e-05,0.000464695452151353,0.000651502527033807,5.18745214258537e-05,0.00101691121623367,8.03293195770723e-06,3.76802478428535e-05,2.434723706769e-05,0.0424136599000768
"BG",0.00284809302457357,1.84791112705503e-05,NA,0.000114570489877412,0.000882377563168778,0,0.000374202003228644,4.3887889267557e-05,NA,0.696441053549688,0.000899602734745969,NA,0.000262095394853972,1.84791112705503e-06,3.97300892316832e-05,0.000138593334529127,NA,0.172578576051984,NA,NA,NA,0.0010643968091837,0.00325675857032179,0.0978193808341167,8.57430762953535e-05,0.000801146469875317,2.30988890881879e-05,0.000210661868484274,NA,0.000305829291527608,2.05580112884872e-05,1.75551557070228e-05,1.84791112705503e-06,0.0217277390319131,2.21749335246604e-05
"CH",0.213958984164664,0.000164408612161337,7.35160460884027e-05,NA,NA,0.000431071361154725,0.0510062124917741,0.000219712728650567,0,0.000528814286067715,0.000937329587627135,0.000135336357571832,0.261590141813288,NA,0.000215535680577363,0.00708928598984302,NA,0.450193887233856,NA,0.0010509452952183,8.01993230055303e-05,NA,NA,NA,0.000140348815259678,0.000670833920556675,NA,0.000352542857378477,0.000143929142179568,0.000107767840288681,5.34662153370202e-05,0.000610266723495207,0.00113114461822383,NA,0.00911431889573266
"CY",3.73022614927854e-05,0.000540111020717952,2.85555243151668e-05,NA,NA,NA,0.0010926990047628,0.000203747524843352,0.000247352582243539,0.994562230673767,6.04553893158936e-05,NA,3.24143789523515e-05,NA,0.00014123407972096,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.32191719364686e-05,0.00091634934784346,NA,5.47957358480227e-05,NA,0.000541011420133295,8.15504613325033e-05,0,0.00010341730427655,NA,0.00131355411849767
"CZ",0.204262104702477,0.00380916840743379,0.000140463789664237,0.0211216289193647,0.00130118014788117,NA,0.224612177564735,0.00141832034971371,0.00185451993798624,0.164923754755567,0.00993860894758137,7.41612997129522e-05,0.00301012309592786,0.00895499766504826,0.0071437243924256,0.000313854997443815,2.02936353339265e-05,0.139589007975112,0,0.00160518676347176,5.22262674034874e-06,0.0001242985164203,2.62623516086108e-05,0.00230382500342355,0.00267047827024718,0.00508760111440144,5.49121897270954e-06,0.00710638675617396,2.31287755644016e-05,0.000921321096299807,0.000648294960420678,0.0208642114502515,0.100077449197864,0.00242300037170808,0.0636197509430231
"DE",0.110788521405842,0.083816826671226,0.00187349213748881,0.0253036844877558,4.38005734724706e-05,0.0312326796497969,NA,0.0257559262122445,0.000224765818824371,0.0493640818243183,0.07030913257621,0.00217946683321173,0.20530452454964,0.00102008525599985,0.00312880061261934,0.0136351538709389,9.96197929307843e-06,0.157833368756286,0.000243008023916965,0.000253773388636904,0.0117158018153334,0.000185196408600035,4.59536464164586e-05,4.42183338944384e-05,0.000511378543195447,0.0966430678235669,0.000361801949035502,0.0187726001514079,0.00110135572578112,0.000387737908566003,0.0026655578636855,0.00423395902942094,0.00911681112914193,0.00124203386992736,0.0706514711743041
"DK",0.00541072742998585,0.0557450018593193,0.000931189778755316,0.0014656006479227,0.00126641611140292,0.00353970384333736,0.166489450817978,NA,0.00346697457067837,0.00365414591924714,0.16479890829846,0.00371223657783965,0.148889952404561,6.261268590809e-05,0.00184336385290151,0.0198256278604892,0.00549461103668994,0.0115981884185452,6.261268590809e-05,0.00513006606540284,0.00845062550806188,0.00601661531809406,0.000100180297452944,NA,3.33934324843147e-05,0.0412072637868076,0.0482544375351815,0.101476003215632,0.00179141851348146,0.00180929791379077,0.0776459917946224,0.000154444625239955,0.00616442763660449,1.66967162421573e-05,0.103491812840972
"EE",0.0118563990419969,0.0214728374765951,8.1028085293906e-05,0.000242610407429707,0.000350035800237734,0.00323061977106999,0.103033528430562,0.0817485718651889,NA,0.044895087484764,0.0184042738761129,0.051779315745066,0.052461736490704,1.70585442724013e-05,0.00116361384865537,0.0442032687448278,0.0263178589236671,0.00351714013505273,NA,0.0071590603624684,0.000199727122522698,0.0336320256794271,NA,NA,2.65355133126242e-05,0.085238781613219,0.00777474745111488,0.0127596331662721,0.00147469535740069,5.40187235292707e-05,0.0100879966190913,0.00052887410350094,0.000513355566697575,0.000505122449843882,0.375270441600103
"EL",0.00049814904671976,0.00265570606546338,0.0282205518155652,NA,0.0361062784463983,0.000335638128199707,0.0846896544563472,0.00284598266855469,NA,NA,0.000129028769478233,0.766796417771706,NA,NA,4.89982668904682e-06,0.000764372963491304,NA,0.0529018538173456,NA,NA,NA,NA,0.000186193414183779,0.00147539225859076,0.000630852686214778,0.00020089289425092,NA,0,NA,0.0185024805518441,0.00120290745216099,NA,0.000308076603073819,2.44991334452341e-05,0.00152017123027678
"ES",0.00137755141965489,0.00794044501384537,0.000173549785153372,0.000381809527337418,0.000477261909171773,0.000667081986683274,0.117289825894356,0.0261293664030498,0.000485939398429442,0.00106498102535262,NA,0.00123871159153219,0.316622781785602,NA,0.000412180739739259,0.0019227869946784,NA,0.0287668410546445,NA,0.00118773134214339,0.000872087670395694,0,NA,NA,0.000301542751703984,0.00815250115757965,0.000212598486812881,0.000611453082335005,0.428984215603997,0.000119315477292943,0.00157496430026685,3.47099570306744e-05,0.000203920997555212,NA,0.0527938446436558
"FI",0.0101290004698894,0.0177951520578775,0.000391038422118861,0.00759810453280068,0.0018751712499095,0.000993402293098342,0.0772734506498122,0.101349165072586,0.0035584439394695,0.281864212244792,0.0759100333305058,NA,0.109897346271655,4.98827107933407e-05,0.00243718258181807,0.0166637740563976,0.001479212978457,0.0331855811359146,1.18760601464224e-05,0.000684632874737276,6.23126612620928e-06,0.000268142988671216,NA,NA,0.000118760601464224,0.0581772998246873,0.00764208994075039,0.00250474905569638,0.000793594504763814,1.53425292015069e-05,0.0046184108165984,8.94614325021654e-05,0.000421382244519726,0.000148849878680194,0.18204902198356
"FR",0.00188641351709053,0.0795649950675183,0.00469211747754281,0.0530292359743193,0.000124339202729355,4.20153143945661e-05,0.0453959528408466,0.00253981709268282,0.000162643936950961,0.0762932827168243,0.536287747977604,0.00140227481398402,NA,3.76115026049651e-05,0.000186968851418146,0.0044151110435348,NA,0.154705435244715,5.13286388491289e-05,1.5044601041986e-05,0.00355839230396988,0.000181272692947067,5.89984354587688e-05,NA,1.62245697511614e-05,0.0125442145703348,5.66384980404181e-05,0.00109484707757181,0.00345589891081456,0.000106139824235755,0.000434847149126141,0.00336195209657362,0.00408259340302104,1.65195619284553e-05,0.0101991250915745
"HR",0.0638790198503054,0.00549715868034501,0.00244318163570889,NA,0.0224467312780755,0.00618430351538814,0.005169946854134,0.00760440284114393,NA,NA,0.0113760644912695,NA,0.0899587113210626,NA,0.00290127819240431,0.0183238622678167,NA,0.413813889548194,NA,NA,NA,NA,NA,NA,0.0355024831438949,0.0137428967008625,NA,NA,0.00320667589686792,NA,0.0110197671693953,0.248831262981296,0.00221413335736118,NA,0.0358842302744744
"HU",0.251581538740167,0.00102006070628964,0.00711506970658627,0.000633184363573672,0,0.000761353695694195,0.0717581082485208,0.00221927984856515,1.67177389722422e-05,0.174728467349037,0.00061646662460143,0.000188074563437724,0.000798272035924564,0.0581424386189058,NA,0.000426302343792175,NA,0.256504912867493,NA,NA,0.000351072518417086,1.67177389722422e-05,0.000200612867666906,NA,0.000902757904501077,0.0567559111428955,NA,0.00295277064597227,7.52298253750898e-05,0.0145901744972053,7.18862775806413e-05,0.0902200646535336,0.00398393007341293,NA,0.0033686244029068
"IE",0.000205995863453496,0.00100583400893077,1.58763671255103e-05,NA,NA,0.000287759154149875,0.000642071472276777,0.0350425049487605,0.00322687161825997,0.245658997624803,0.00324566967794677,0,0.00186282707605988,NA,0.000422708274716712,NA,NA,0.000131972301730805,NA,NA,NA,3.96909178137758e-05,NA,NA,NA,0.00267169490533978,9.72427486437507e-05,0.000142887304129593,0.000180097539580008,NA,NA,NA,0.000148840941801659,1.98454589068879e-06,0.704968472708587
"IS",NA,NA,NA,NA,NA,NA,NA,0.75092936802974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,0.0817843866171004,NA,0.0223048327137546,NA,0.144981412639405
"IT",0.0421829442685398,0.000671498355588656,0.00556170254133873,0.0229835747170734,0.00534897764544331,0.00874478870287928,0.0249663035713151,0.000343513365723967,6.34736531474113e-05,0.548748303380107,0.215939483795932,0.000115310469884464,0.0747773704225483,0.00183509383877294,0.00615388821644365,0.00123165334461456,0.000197473587569724,NA,NA,0.000223215680235063,1.26947306294823e-05,8.46315375298818e-06,0.00112700997477293,0.000131178883171317,0.00234876025405847,0.001338941450004,0.000108963104569723,0.00201802138082971,0.00178525526667201,0.0039293423752806,0.000362222980627894,0.00581512697871988,0.0140068217166866,0.00033617527407703,0.0065824529189908
"LI",0.529225908372828,NA,NA,NA,NA,NA,0.266982622432859,0.123222748815166,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0805687203791469
"LT",0.00497946990447728,0.0808706275532371,0.000163260352145155,0.00159218214809085,0.000759291875700169,0.00099892704210001,0.276908688855012,0.122562036965242,0.0130285144041639,0.0317754340815747,0.0218877362140671,0.000441747866013338,0.0316706418169573,NA,0.00510802503707032,0.000743916588517081,0.000357901222137432,0.0253243112150275,NA,NA,0.000190802881006514,0.0237626346632825,NA,NA,3.14971740472968e-06,0.0556140935905113,0.0183014913082819,0.0173568093992634,0.000627003744701522,0.000188983044283781,0.00505383823208895,0.000582697719874991,0.00138877539791399,0.00036956684215495,0.257387440317699
"LU",0.000908828496990977,0.383196656881339,NA,NA,NA,0,0.104581209729155,0.281650278972251,NA,0.000480960785349177,0.0267901403683457,1.24924879311475e-05,0.103915290719714,NA,NA,0.0129515868626171,NA,0.0036537924596954,NA,NA,NA,NA,NA,NA,0.000165525465087704,0.00342918793709998,NA,4.52852687504095e-05,NA,6.24624396557373e-06,0.00441453292266923,NA,NA,NA,0.073797984399039
"LV",0.00113431475816385,0.00906756299678912,1.02451907565253e-05,3.57609910417468e-05,0.00130107675540337,7.99069349519776e-05,0.0278532169562898,0.0585145601811839,0.0112248281225357,0.00213516959493651,0.00775301339906975,0.00166507949826444,0.0101259272961062,3.16518088412976e-06,7.70575780376459e-05,0.0164338273859862,0.00407744709737407,0.00211386882994052,NA,0.0038322705202047,3.18704562050039e-05,NA,3.74824052067998e-07,NA,0.00105735366261368,0.0234896680482095,0.00049812728282607,0.00306465862631404,0.000113000527316309,5.62236078101997e-06,0.00450656510750273,8.87083589894261e-06,0.000900735911452124,7.93794048046227e-05,0.808805473684104
"ME",0.0245843119807133,0.0119196664148913,0.0148995830186141,NA,0.0271917390089708,NA,0.0387389158483967,0.0338965513673471,NA,0.537461069665898,0.0216043953769905,NA,0.100572185375645,NA,0,NA,NA,0.115006156424928,NA,NA,NA,0,NA,NA,NA,0.000744979150930707,NA,0.00372489575465353,NA,NA,NA,0.00111746872639606,NA,NA,0.068538081885625
"MK",NA,NA,0.117286722966257,NA,NA,NA,0.0263398149034391,NA,NA,0.192974576832743,0.0198791055875012,NA,NA,NA,NA,NA,NA,0.626026166793059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0174936129170011,NA,NA,NA
"MT",0.640575798470535,NA,NA,NA,NA,0.0755735492577598,0.0179937022042285,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.265856950067476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"NL",0.00513723246411546,0.461020808696299,0.00010340518429989,0.00253755535920719,0.000171031388480807,0.000584996154335359,0.246998157844037,0.00369100152780458,0.000685010199036061,0.0293299663933806,0.0849539773583892,0.000795877294652757,0.055539723944536,4.71810726843606e-06,0.00114571371501856,0.0180480708871203,0.000578305148045449,0.00303058118644186,NA,7.93231784505813e-05,0.00215827195823903,0.000493435385157271,NA,2.35905363421803e-06,0.000126209369430665,NA,0.000213625412431966,0.000807844811184441,0.00991208807830799,0.000106589906706085,0.000682272011782057,3.04317918814126e-05,0.0167500180072087,4.33476105287563e-05,0.0542380505725886
"NO",0.000292081059098413,0.0487833668306944,9.91093414106392e-06,NA,9.44453724030797e-05,2.02882651828838e-05,0.140524025873474,0.352212251188584,5.88097342046954e-05,NA,0.0028877984353525,0.000246996025358671,0.00809140323198977,NA,0.000639838248224568,0.00821703889713091,NA,0.000413760679099206,NA,0.000803368661552122,NA,0.00015595146369027,NA,NA,NA,0.0617797108023009,NA,0.00373059220992165,0.000469894877511619,4.83886784534297e-05,0.26651104334651,NA,0.00319015480117069,NA,0.100818880383952
"PL",0.00896248750586191,0.0272279869730459,3.00794098835002e-05,0.000999893159173532,2.64368346541625e-05,0.00892628706750024,0.421001785170328,0.0599484266245444,0.00159019062537665,0.00172382682176294,0.323300557264387,8.90741076699907e-05,0.0295962366743853,1.96774167028141e-05,0.00116692588721574,0.000409470518563903,0.000103043571436111,0.0313787202230372,4.6685046650646e-05,0.000481220488373401,0.001073266819856,0.0002468088807969,0.000167032728042209,NA,0.000465047955052768,0.0312486389797957,0.000586517199126628,NA,0.000105146501465419,7.07260431642751e-05,0.0021440373044051,0.000195974839032307,0.0361136361694738,1.84757424003522e-05,0.010535679446835
"PT",NA,0.000110986177144039,NA,2.0489755780438e-05,0.0001652840299622,1.12693656792409e-05,0.000250601096392413,5.32733650291389e-05,0.00013022378118234,0.000479004957356018,0.946194231433302,NA,0.00437820548237338,NA,NA,0.000245603872621517,0.000392720319125063,0.000366538964516725,NA,NA,1.22938534682628e-05,NA,NA,NA,NA,8.21866870748682e-05,1.36598371869587e-06,0.000222655346147427,NA,0,3.55155766860926e-05,1.36598371869587e-06,0.0163146265442441,NA,0.0305315574244776
